!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
!,,,,,,,
! Revision 0.0  2012-09-17 Andre,,,,,,, 
! GB2 Initial version,,,,,,,
!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
# Addr,Name,Def/mask,SubDes,Des,,,
R8.0,PMA Control 1 ,16'h204C,,,,,
8.0.0,PMA local loopback,RW,0=disable; 1=enable,Enable PMA local loopback mode. Local Loopback mode loops back 28G serial transmit data to the 28G serial receiver.,,,
R8.1,PMA Status 1 ,16'h0002,,,,,
8.1.15:8,Reserved,R,,,,,
8.1.7,Fault,R,,,,,
8.1.6:3,Reserved,R,,1=Fault condition detected; 0= Fault condition not detected;,,,
8.1.2,Receive link status,R,,1= PMA/PMD receive link up; 0= PMA/PMD receive  link down;,,,
8.1.1,Low Power,R,,1= PMA/PMD supports low power mode; 0= PMA/PMD does not support low power mode;,,,
8.1.0,Reserved,R,,,,,
R8.2,PMA Device Identifier Lo ,16'h0210,,,,,
8.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI,,,
R8.3,PMA Device Identifier Hi ,16'h7420,,,,,
8.3.15:10,OUI 19-20,R,,19th through 24th bits of Inphi OUI,,,
8.3.9:4,Model Number,R,,Gearbox model number ,,,
8.3.3:0,Revision Code,R,,Gearbox revision number ,,,
R8.4,PMA Speed Ability,16'h0200,,,,,
8.4.15:10,Reserved,R,,,,,
8.4.9,100G capable,R,,"Read as one, writes ignored:  PMA/PMD is capable of operating at 100 Gbps",,,
8.4.8:0,Reserved,R,,,,,
R8.5,PMA Devices in Package Lo ,16'h0100,,,,,
8.5.15:0,Devices Lo,R,,Separated PMA (1) present in package,,,
R8.6,PMA Devices in Package Hi,16'h4000,,,,,
8.6.15:0,Devices Hi,R,,Vendor Specific Device 1 present in package,,,
R8.7,PMA Control 2,16'h002A,,,,,
8.7.15:6,Reserved,R,,,,,
8.7.5:2,PMD/PMA type selection 5:2,R,,"Read as 5'b10101, writes ignored : ",,,
8.7.1,PMD/PMA type selection 1,RW,0= All optical lanes operate at 10Gbps; 1=  Optical lanes 0-3 operate at 25Gbps (lanes 4-9 disabled),In order for this bit to be writeable the “hard reset” bit (8.0.15) must be asserted. This field is not modified by an MDIO_INIT.,,,
8.7.0,PMD/PMA type selection 0,RW,,,,,
R8.8, PMA Status  2,16'hB281,,,,,
8.8.15:14,Device present,R,,"Read as 2'b10, writes ignored: Indicates device responding at this address",,,
8.8.13,Transmit fault ability,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has the ability to detect a fault condition on the transmit path",,,
8.8.12,Receive fault ability,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has the ability to detect a fault condition on the receive path",,,
8.8.11,Transmit fault ,R,,0= No fault condition on transmit path; 1= Fault condition on transmit path;,,,
8.8.10,Receive fault ,R,,0= No fault condition on receive path; 1= Fault condition on receive path;,,,
8.8.9,Extended abilities,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has extended abilities listed in register 1.11",,,
8.8.8,PMD transmit disable ability,R,,"Read as zero, writes ignored: Indicates that the PMD does not have the ability to disable the transmit path",,,
8.8.7,10GBASE-SR ability,R,,,,,
8.8.6:1,Reserved,R,,,,,
8.8.0,PMA local loopback ability,R,,"Read as one, writes ignored: Indicates that the PMA has the ability to perform a local loopback function.",,,
R8.11, PMA Extended Ability,16'h0400,,,,,
8.11.15:11,Reserved,R,,,,,
8.11.10,40G/100G extended abilities,R,,"Read as one, writes ignored: 1 = PMA/PMD has 40G/100G extended abilities listed in register 1.13",,,
8.11.9:0,Reserved,R,,,,,
R8.13, 40/100G PMA Extended Ability,16'h8F00,,,,,
8.13.15,PMA remote loopback ability,R,,"Read as one, writes ignored: 1 = PMA has the ability to perform a remote loopback function",,,
8.13.14:12,Reserved,R,,,,,
8.13.11,100GBASE-ER4 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-ER4",,,
8.13.10,100GBASE-LR4 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-LR4",,,
8.13.9,100GBASE-SR10 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-SR10",,,
8.13.8,100GBASE-CR10 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-CR10",,,
8.13.7:0,Reserved,R,,,,,
R8.1500,Test Pattern Ability,16'h103F,,,,,
8.1500.15:13,Reserved,R,,,,,
8.1500.12,Square wave test ability,R,,"Read as one, writes ignored: 1= Square wave testing supported",,,
8.1500.11:6,Reserved,R,,,,,
8.1500.5,PRBS9 Tx generator ability,R,,"Read as one, writes ignored: 1= PRBS9 Tx (to optics) pattern generation supported",,,
8.1500.4,PRBS9 Rx generator ability,R,,"Read as one, writes ignored: 1= PRBS9 Rx (to host) pattern generation supported",,,
8.1500.3,PRBS31 Tx generator ability,R,,"Read as one, writes ignored: 1= PRBS31 Tx (to optics) pattern generation supported",,,
8.1500.2,PRBS31 Tx checker ability,R,,"Read as one, writes ignored: 1= PRBS31 Tx (from host)  pattern checking supported",,,
8.1500.1,PRBS31 Rx generator ability,R,,"Read as one, writes ignored: 1= PRBS31 Rx (to host) pattern generation supported",,,
8.1500.0,PRBS31 Rx checker ability,R,,"Read as one, writes ignored: 1= PRBS31 Rx (from optics) pattern checking supported",,,
R8.1501,PRBS Pattern Testing Control,16'h0000,,,,,
8.1501.15:4,Reserved,R,,,,,
8.1501.7,PRBS31 pattern enable,RW,0 = Disable PRBS9 test-pattern; 1 = Enable PRBS9 test-pattern;,,,,
8.1501.6,PRBS9 pattern enable,RW,0 = Disable PRBS31 test-pattern; 1 = Enable PRBS31 test-pattern;,,,,
8.1501.5:4,Reserved,R,,,,,
8.1501.3,Tx generator enable,RW,0 = Disable transmit direction test-pattern generator; 1 = Enable transmit direction test-pattern generator;,,,,
8.1501.2,Tx checker enable,RW,0 = Disable transmit direction test-pattern checker; 1 = Enable transmit direction test-pattern checker;,,,,
8.1501.1,Rx generator enable,RW,0 = Disable receive direction test-pattern generator; 1 = Enable receive direction test-pattern generator;,,,,
8.1501.0,Rx checker enable,RW,0 = Disable receive direction test-pattern checker; 1 = Enable receive direction test-pattern checker;,,,,
R8.1510,Tx Square Wave  Testing Control,16'h0000,,,,,
8.1510.15:4,Reserved,R,,,,,
8.1510.9,Lane 9 SW enable,RW,0 = Disable transmit direction square wave on lane 9; 1 = Enable transmit direction square wave on lane 9;,,,,
8.1510.8,Lane 8 SW enable,RW,0 = Disable transmit direction square wave on lane 8; 1 = Enable transmit direction square wave on lane 8;,,,,
8.1510.7,Lane 7 SW enable,RW,0 = Disable transmit direction square wave on lane 7; 1 = Enable transmit direction square wave on lane 7;,,,,
8.1510.6,Lane 6 SW enable,RW,0 = Disable transmit direction square wave on lane 6; 1 = Enable transmit direction square wave on lane 6;,,,,
8.1510.5,Lane 5 SW enable,RW,0 = Disable transmit direction square wave on lane 5; 1 = Enable transmit direction square wave on lane 5;,,,,
8.1510.4,Lane 4 SW enable,RW,0 = Disable transmit direction square wave on lane 4; 1 = Enable transmit direction square wave on lane 4;,,,,
8.1510.3,Lane 3 SW enable,RW,0 = Disable transmit direction square wave on lane 3; 1 = Enable transmit direction square wave on lane 3;,,,,
8.1510.2,Lane 2 SW enable,RW,0 = Disable transmit direction square wave on lane 2; 1 = Enable transmit direction square wave on lane 2;,,,,
8.1510.1,Lane 1 SW enable,RW,0 = Disable transmit direction square wave on lane 1; 1 = Enable transmit direction square wave on lane 1;,,,,
8.1510.0,Lane 0 SW enable,RW,0 = Disable transmit direction square wave on lane 0; 1 = Enable transmit direction square wave on lane 0;,,,,
R8.1600,PRBS Tx0 Error Counter,16'h0000,,,,,
8.1600.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1601,PRBS Tx1 Error Counter,16'h0000,,,,,
8.1601.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1602,PRBS Tx2 Error Counter,16'h0000,,,,,
8.1602.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1603,PRBS Tx3 Error Counter,16'h0000,,,,,
8.1603.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1604,PRBS Tx4 Error Counter,16'h0000,,,,,
8.1604.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1605,PRBS Tx5 Error Counter,16'h0000,,,,,
8.1605.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1606,PRBS Tx6 Error Counter,16'h0000,,,,,
8.1606.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1607,PRBS Tx7 Error Counter,16'h0000,,,,,
8.1607.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1608,PRBS Tx8 Error Counter,16'h0000,,,,,
8.1608.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1609,PRBS Tx9 Error Counter,16'h0000,,,,,
8.1609.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1700,PRBS Rx0 Error Counter,16'h0000,,,,,
8.1700.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1701,PRBS Rx1 Error Counter,16'h0000,,,,,
8.1701.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1702,PRBS Rx2 Error Counter,16'h0000,,,,,
8.1702.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1703,PRBS Rx3 Error Counter,16'h0000,,,,,
8.1703.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1704,PRBS Rx4 Error Counter,16'h0000,,,,,
8.1704.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1705,PRBS Rx5 Error Counter,16'h0000,,,,,
8.1705.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1706,PRBS Rx6 Error Counter,16'h0000,,,,,
8.1706.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1707,PRBS Rx7 Error Counter,16'h0000,,,,,
8.1707.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1708,PRBS Rx8 Error Counter,16'h0000,,,,,
8.1708.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
R8.1709,PRBS Rx9 Error Counter,16'h0000,,,,,
8.1709.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read.",,,
