30.5808.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6064,Optical Rx Lane 7 Sense Amp offset ctl 1,16'h0000,,
30.6064.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6064.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6320,Optical Rx Lane 8 Sense Amp offset ctl 1,16'h0000,,
30.6320.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6320.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6576,Optical Rx Lane 9 Sense Amp offset ctl 1,16'h0000,,
30.6576.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6576.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
,,,,
R30.4273,Optical Rx Lane 0 Sense Amp offset ctl 2,16'h0000,,
30.4273.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4273.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4529,Optical Rx Lane 1 Sense Amp offset ctl 2,16'h0000,,
30.4529.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4529.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4785,Optical Rx Lane 2 Sense Amp offset ctl 2,16'h0000,,
30.4785.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4785.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5041,Optical Rx Lane 3 Sense Amp offset ctl 2,16'h0000,,
30.5041.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5041.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5297,Optical Rx Lane 4 Sense Amp offset ctl 2,16'h0000,,
30.5297.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5297.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5553,Optical Rx Lane 5 Sense Amp offset ctl 2,16'h0000,,
30.5553.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5553.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5809,Optical Rx Lane 6 Sense Amp offset ctl 2,16'h0000,,
30.5809.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5809.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6065,Optical Rx Lane 7 Sense Amp offset ctl 2,16'h0000,,
30.6065.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6065.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6321,Optical Rx Lane 8 Sense Amp offset ctl 2,16'h0000,,
30.6321.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6321.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6577,Optical Rx Lane 9 Sense Amp offset ctl 2,16'h0000,,
30.6577.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6577.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
,,,,
R30.4274,Optical Rx Lane 0 Sense Amp offset ctl 3,16'h0000,,
30.4274.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4274.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4530,Optical Rx Lane 1 Sense Amp offset ctl 3,16'h0000,,
30.4530.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4530.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4786,Optical Rx Lane 2 Sense Amp offset ctl 3,16'h0000,,
30.4786.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4786.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5042,Optical Rx Lane 3 Sense Amp offset ctl 3,16'h0000,,
30.5042.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5042.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5298,Optical Rx Lane 4 Sense Amp offset ctl 3,16'h0000,,
30.5298.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5298.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5554,Optical Rx Lane 5 Sense Amp offset ctl 3,16'h0000,,
30.5554.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5554.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5810,Optical Rx Lane 6 Sense Amp offset ctl 3,16'h0000,,
30.5810.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5810.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6066,Optical Rx Lane 7 Sense Amp offset ctl 3,16'h0000,,
30.6066.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6066.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6322,Optical Rx Lane 8 Sense Amp offset ctl 3,16'h0000,,
30.6322.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6322.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6578,Optical Rx Lane 9 Sense Amp offset ctl 3,16'h0000,,
30.6578.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6578.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
,,,,
R30.4275,Optical Rx Lane 0 Sense Amp offset ctl 4,16'h0000,,
30.4275.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4275.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4531,Optical Rx Lane 1 Sense Amp offset ctl 4,16'h0000,,
30.4531.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4531.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4787,Optical Rx Lane 2 Sense Amp offset ctl 4,16'h0000,,
30.4787.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4787.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5043,Optical Rx Lane 3 Sense Amp offset ctl 4,16'h0000,,
30.5043.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5043.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5299,Optical Rx Lane 4 Sense Amp offset ctl 4,16'h0000,,
30.5299.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5299.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5555,Optical Rx Lane 5 Sense Amp offset ctl 4,16'h0000,,
30.5555.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5555.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5811,Optical Rx Lane 6 Sense Amp offset ctl 4,16'h0000,,
30.5811.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5811.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6067,Optical Rx Lane 7 Sense Amp offset ctl 4,16'h0000,,
30.6067.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6067.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6323,Optical Rx Lane 8 Sense Amp offset ctl 4,16'h0000,,
30.6323.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6323.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.6579,Optical Rx Lane 9 Sense Amp offset ctl 4,16'h0000,,
30.6579.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.6579.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
,,,,
R30.4276,Optical Rx Lane 0 Sense Amp offset ctl 5,16'h0000,,
30.4276.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4276.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4532,Optical Rx Lane 1 Sense Amp offset ctl 5,16'h0000,,
30.4532.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
