!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
#R0.0,TestBench control ,16'h0000,,
#0.0.15:2,Reserved,R,,
#0.0.1,Refclk Enable enable,RW,0 = Disable refclk; 1 = Enable refclk;,
#0.0.0,Reset,RW,0 = Run; 1 = Reset;,
,,,,
30.48.15:0,Pattern 15:0,RW,,Custom transmit Pattern bits 15:0
R30.49,Custom Pattern Mid,16'h0000,,
30.49.15:0,Pattern 32:16,RW,,Custom transmit Pattern bits 31:16
R30.50,Custom Pattern Hi,16'h0000,,
30.50.15:8,Reserved,R,,
30.50.7:0,Pattern 39:32,RW,,Custom transmit Pattern bits 39:32
,,,,
R30.58,Ingress FIFO config,16'h0003,,
30.58.15:14,Reserved,R,,
30.58.13:12,i10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 local loopback mode 
30.58.11:10,Reserved,R,,
30.58.9:8,n10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 normal mode 
30.58.7:6,Reserved,R,,
30.58.5:4,Reserved,R,,
30.58.3:2,Reserved,R,,
30.58.1:0,n25_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 25:10 normal mode 
,,,,
R30.59,Egress FIFO config,16'h0031,,
30.59.15:14,Reserved,R,,
30.59.13:12,r10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 remote loopback mode 
30.59.11:10,Reserved,R,,
30.59.9:8,n10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 normal mode 
30.59.7:6,Reserved,R,,
30.59.5:4,r25_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 25:25 remote loopback mode 
30.59.3:2,Reserved,R,,
30.59.1:0,n25_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:25 normal mode 
,,,,
R30.60,Monitor Clock Select,16'h000F,,
30.60.15:6,Reserved,R,,
30.60.15:5,Divide Select,RW,,Monitor clock divide ratio
30.60.4,Direction select,RW,0=Ingress;1=Egress,Select Optical lane direction to monitor 
30.60.15:6,Lane select,RW,0000=lane 0; 0001=lane 1; 0010=lane 2; 0011=lane 3; 0100=lane 4; 0101=lane 5; 0110=lane 6; 0111=lane 7; 1000=lane 8; 1001=lane 9; 1111=disabled;,"Select Optical Lane to monitor : 0-9 : Select numbered lane; A-E : Reserved; F :Monitor Clock Disabled (Default). Note only lane 2 can be monitored on Egress. Selecting anything other than lane 2 will not produce a valid clock.
"
,,,,
R30.62,Power down and disable,16'h0000,,
30.62.15,pll_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G PLLs
30.62.14,vr_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G SERDES Voltage Regulators
30.62.13,bg_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G SERDES Bandgaps
30.62.12,analog_powerdn,RW,0=power-up; 1=power-down,1=Power-down (all other) SERDES analog circuitry & PLL REF_OUT buffer
30.62.11:10,Reserved,R,,
30.62.9,Lane 9 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.8,Lane 8 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.7,Lane 7 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.6,Lane 6 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.5,Lane 5 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.4,Lane 4 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.3,Lane 3 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.2,Lane 2 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.1,Lane 1 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.0,Lane 0 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
,,,,
R30.63,Manual Reset Control,16'hFFFF,,
30.63.15,Egress Rx PLL reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes PLL
30.63.14,Egress Rx PI reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes PI
30.63.13,Egress Rx DM reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes Demux
30.63.12,Egress Rx Serdes reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes
30.63.11,Egress Tx PLL reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Serdes PLL
30.63.10,Egress Tx PI reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Serdes PI
30.63.9,Egress Tx Serdes reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Serdes
30.63.8,Egress datapath reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Datapath (including FIFOs)
30.63.7,Ingress Rx PLL reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes PLL
30.63.6,Ingress Rx PI reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes PI
30.63.5,Ingress Rx DM reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes Demux
30.63.4,Ingress Rx Serdes reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes
30.63.3,Ingress Tx PLL reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Serdes PLL
30.63.2,Ingress Tx PI reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Serdes PI
30.63.1,Ingress Tx Serdes reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Serdes
30.63.0,Ingress datapath reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Datapath (including FIFOs)
,,,,
R30.64,Ingress LOL Status Register,16'h83FF,,
30.64.15,Ingress LOL ,R,,"Composite LOL : logical OR of bits 9:0 in 10:10 mode, Logical OR of bits 3:0 in 10:4 mode."
30.64.14:10,Reserved,R,,
30.64.9,Ingress LOL  Status 9,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.8,Ingress LOL  Status 8,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.7,Ingress LOL  Status 7,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.6,Ingress LOL  Status 6,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.5,Ingress LOL  Status 5,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.4,Ingress LOL  Status 4,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.3,Ingress LOL  Status 3,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.2,Ingress LOL  Status 2,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.1,Ingress LOL  Status 1,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.0,Ingress LOL  Status 0,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
,,,,
R30.65,Ingress LOL Event Register,16'h83FF,,
30.65.15,Ingress LOL event,R,,Composite LOL event : Set high when corresponding bit in LOL status register changes state
30.65.14:10,Reserved,R,,
30.65.9,Ingress LOL  Event 9,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.8,Ingress LOL  Event 8,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.7,Ingress LOL  Event 7,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.6,Ingress LOL  Event 6,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.5,Ingress LOL  Event 5,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.4,Ingress LOL  Event 4,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.3,Ingress LOL  Event 3,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.2,Ingress LOL  Event 2,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.1,Ingress LOL  Event 1,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.0,Ingress LOL  Event 0,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
,,,,
R30.66,Ingress LOL Event Mask,16'h83FF,,
30.66.15,Ingress LOL mask,RW,0=alerts enabled; 1=alerts masked,Mask Composite LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.14:10,Reserved,R,,
30.66.9,Ingress LOL  Mask 9,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.8,Ingress LOL  Mask 8,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.7,Ingress LOL  Mask 7,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.6,Ingress LOL  Mask 6,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.5,Ingress LOL  Mask 5,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.4,Ingress LOL  Mask 4,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.3,Ingress LOL  Mask 3,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.2,Ingress LOL  Mask 2,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.1,Ingress LOL  Mask 1,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
30.66.0,Ingress LOL  Mask 0,RW,0=alerts enabled; 1=alerts masked,Mask lane LOL event : When set high corresponding bit in LOL event register does not cause alerts
,,,,
R30.67,Ingress Protocol lock status,16'h03FF,,
30.67.15:10,Reserved,R,,
30.67.9,Loss of Protocol lock lane 9,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.8,Loss of Protocol lock lane 8,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.7,Loss of Protocol lock lane 7,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.6,Loss of Protocol lock lane 6,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.5,Loss of Protocol lock lane 5,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.4,Loss of Protocol lock lane 4,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.3,Loss of Protocol lock lane 3,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.2,Loss of Protocol lock lane 2,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.1,Loss of Protocol lock lane 1,R,,Read as one if the protocol  lock SM on this lane is not locked 
30.67.0,Loss of Protocol lock lane 0,R,,Read as one if the protocol  lock SM on this lane is not locked 
,,,,
R30.68,Ingress PRBS lock status,16'h03FF,,
30.68.15:10,Reserved,R,,
30.68.9,Loss of PRBS lock lane 9,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.8,Loss of PRBS lock lane 8,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.7,Loss of PRBS lock lane 7,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.6,Loss of PRBS lock lane 6,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.5,Loss of PRBS lock lane 5,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.4,Loss of PRBS lock lane 4,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.3,Loss of PRBS lock lane 3,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.2,Loss of PRBS lock lane 2,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.1,Loss of PRBS lock lane 1,R,,Read as one if the PRBS verifier for this lane is not locked 
30.68.0,Loss of PRBS lock lane 0,R,,Read as one if the PRBS verifier for this lane is not locked 
,,,,
,,,,
R30.72,Egress LOL Status Register,16'h83FF,,
30.72.15,Egress LOL ,R,,"Composite LOL : logical OR of bits 9:0 in 10:10 mode, Logical OR of bits 3:0 in 10:4 mode."
30.72.14:10,Reserved,R,,
30.72.9,Egress LOL  Status 9,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.72.8,Egress LOL  Status 8,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.72.7,Egress LOL  Status 7,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.72.6,Egress LOL  Status 6,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.72.5,Egress LOL  Status 5,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.72.4,Egress LOL  Status 4,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.72.3,Egress LOL  Status 3,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.72.2,Egress LOL  Status 2,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
