!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
,,,,
30.4060.15:0,s10it4_trim[15:0],R,,
R30.4061,Host Tx  Lane 4 trim 1,16'h0000,,
30.4061.15:0,s10it4_trim[31:16],R,,
R30.4062,Host Tx  Lane 4 trim 2,16'h0000,,
30.4062.15:0,s10it4_trim[47:32],R,,
R30.4063,Host Rx  Lane 4 trim 0,16'h0000,,
30.4063.15:0,s10er4_trim[15:0],R,,
R30.4064,Host Rx  Lane 4 trim 1,16'h0000,,
30.4064.15:0,s10er4_trim[31:16],R,,
R30.4065,Host Rx  Lane 4 trim 2,16'h0000,,
30.4065.15:0,s10er4_trim[47:32],R,,
R30.4066,Host Tx  Lane 5 trim 0,16'h0000,,
30.4066.15:0,s10it5_trim[15:0],R,,
R30.4067,Host Tx  Lane 5 trim 1,16'h0000,,
30.4067.15:0,s10it5_trim[31:16],R,,
R30.4068,Host Tx  Lane 5 trim 2,16'h0000,,
30.4068.15:0,s10it5_trim[47:32],R,,
R30.4069,Host Rx  Lane 5 trim 0,16'h0000,,
30.4069.15:0,s10er5_trim[15:0],R,,
R30.4070,Host Rx  Lane 5 trim 1,16'h0000,,
30.4070.15:0,s10er5_trim[31:16],R,,
R30.4071,Host Rx  Lane 5 trim 2,16'h0000,,
30.4071.15:0,s10er5_trim[47:32],R,,
R30.4072,Host Tx  Lane 6 trim 0,16'h0000,,
30.4072.15:0,s10it6_trim[15:0],R,,
R30.4073,Host Tx  Lane 6 trim 1,16'h0000,,
30.4073.15:0,s10it6_trim[31:16],R,,
R30.4074,Host Tx  Lane 6 trim 2,16'h0000,,
30.4074.15:0,s10it6_trim[47:32],R,,
R30.4075,Host Rx  Lane 6 trim 0,16'h0000,,
30.4075.15:0,s10er6_trim[15:0],R,,
R30.4076,Host Rx  Lane 6 trim 1,16'h0000,,
30.4076.15:0,s10er6_trim[31:16],R,,
R30.4077,Host Rx  Lane 6 trim 2,16'h0000,,
30.4077.15:0,s10er6_trim[47:32],R,,
R30.4078,Host Tx  Lane 7 trim 0,16'h0000,,
30.4078.15:0,s10it7_trim[15:0],R,,
R30.4079,Host Tx  Lane 7 trim 1,16'h0000,,
30.4079.15:0,s10it7_trim[31:16],R,,
R30.4080,Host Tx  Lane 7 trim 2,16'h0000,,
30.4080.15:0,s10it7_trim[47:32],R,,
R30.4081,Host Rx  Lane 7 trim 0,16'h0000,,
30.4081.15:0,s10er7_trim[15:0],R,,
R30.4082,Host Rx  Lane 7 trim 1,16'h0000,,
30.4082.15:0,s10er7_trim[31:16],R,,
R30.4083,Host Rx  Lane 7 trim 2,16'h0000,,
30.4083.15:0,s10er7_trim[47:32],R,,
R30.4084,Host Tx  Lane 8 trim 0,16'h0000,,
30.4084.15:0,s10it8_trim[15:0],R,,
R30.4085,Host Tx  Lane 8 trim 1,16'h0000,,
30.4085.15:0,s10it8_trim[31:16],R,,
R30.4086,Host Tx  Lane 8 trim 2,16'h0000,,
30.4086.15:0,s10it8_trim[47:32],R,,
R30.4087,Host Rx  Lane 8 trim 0,16'h0000,,
30.4087.15:0,s10er8_trim[15:0],R,,
R30.4088,Host Rx  Lane 8 trim 1,16'h0000,,
30.4088.15:0,s10er8_trim[31:16],R,,
R30.4089,Host Rx  Lane 8 trim 2,16'h0000,,
30.4089.15:0,s10er8_trim[47:32],R,,
R30.4090,Host Tx  Lane 9 trim 0,16'h0000,,
30.4090.15:0,s10it9_trim[15:0],R,,
R30.4091,Host Tx  Lane 9 trim 1,16'h0000,,
30.4091.15:0,s10it9_trim[31:16],R,,
R30.4092,Host Tx  Lane 9 trim 2,16'h0000,,
30.4092.15:0,s10it9_trim[47:32],R,,
R30.4093,Host Rx  Lane 9 trim 0,16'h0000,,
30.4093.15:0,s10er9_trim[15:0],R,,
R30.4094,Host Rx  Lane 9 trim 1,16'h0000,,
30.4094.15:0,s10er9_trim[31:16],R,,
R30.4095,Host Rx  Lane 9 trim 2,16'h0000,,
30.4095.15:0,s10er9_trim[47:32],R,,
,,,,
,,,,
,,,,
R30.4099,Optical Tx Lane 0 Impedance ,16'h0007,,
30.4099.15:12,Reserved,R,,
30.4099.11:10,txa_vreg_comp,RW,,
30.4099.9:5,Reserved,R,,
30.4099.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.4355,Optical Tx Lane 1 Impedance ,16'h0007,,
30.4355.15:12,Reserved,R,,
30.4355.11:10,txa_vreg_comp,RW,,
30.4355.9:5,Reserved,R,,
30.4355.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.4611,Optical Tx Lane 2 Impedance ,16'h0007,,
30.4611.15:12,Reserved,R,,
30.4611.11:10,txa_vreg_comp,RW,,
30.4611.9:5,Reserved,R,,
30.4611.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.4867,Optical Tx Lane 3 Impedance ,16'h0007,,
30.4867.15:12,Reserved,R,,
30.4867.11:10,txa_vreg_comp,RW,,
30.4867.9:5,Reserved,R,,
30.4867.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5123,Optical Tx Lane 4 Impedance ,16'h0007,,
30.5123.15:12,Reserved,R,,
30.5123.11:10,txa_vreg_comp,RW,,
30.5123.9:5,Reserved,R,,
30.5123.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5379,Optical Tx Lane 5 Impedance ,16'h0007,,
30.5379.15:12,Reserved,R,,
30.5379.11:10,txa_vreg_comp,RW,,
30.5379.9:5,Reserved,R,,
30.5379.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5635,Optical Tx Lane 6 Impedance ,16'h0007,,
30.5635.15:12,Reserved,R,,
30.5635.11:10,txa_vreg_comp,RW,,
30.5635.9:5,Reserved,R,,
30.5635.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5891,Optical Tx Lane 7 Impedance ,16'h0007,,
30.5891.15:12,Reserved,R,,
30.5891.11:10,txa_vreg_comp,RW,,
30.5891.9:5,Reserved,R,,
30.5891.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.6147,Optical Tx Lane 8 Impedance ,16'h0007,,
30.6147.15:12,Reserved,R,,
30.6147.11:10,txa_vreg_comp,RW,,
30.6147.9:5,Reserved,R,,
30.6147.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.6403,Optical Tx Lane 9 Impedance ,16'h0007,,
30.6403.15:12,Reserved,R,,
30.6403.11:10,txa_vreg_comp,RW,,
30.6403.9:5,Reserved,R,,
30.6403.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8195,Host Tx Lane 0 Impedance ,16'h0007,,
30.8195.15:12,Reserved,R,,
30.8195.11:10,txa_vreg_comp,RW,,
30.8195.9:5,Reserved,R,,
30.8195.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8451,Host Tx Lane 1 Impedance ,16'h0007,,
30.8451.15:12,Reserved,R,,
30.8451.11:10,txa_vreg_comp,RW,,
30.8451.9:5,Reserved,R,,
30.8451.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8707,Host Tx Lane 2 Impedance ,16'h0007,,
30.8707.15:12,Reserved,R,,
30.8707.11:10,txa_vreg_comp,RW,,
30.8707.9:5,Reserved,R,,
30.8707.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8963,Host Tx Lane 3 Impedance ,16'h0007,,
30.8963.15:12,Reserved,R,,
30.8963.11:10,txa_vreg_comp,RW,,
30.8963.9:5,Reserved,R,,
30.8963.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9219,Host Tx Lane 4 Impedance ,16'h0007,,
30.9219.15:12,Reserved,R,,
30.9219.11:10,txa_vreg_comp,RW,,
30.9219.9:5,Reserved,R,,
30.9219.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9475,Host Tx Lane 5 Impedance ,16'h0007,,
30.9475.15:12,Reserved,R,,
30.9475.11:10,txa_vreg_comp,RW,,
30.9475.9:5,Reserved,R,,
30.9475.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9731,Host Tx Lane 6 Impedance ,16'h0007,,
30.9731.15:12,Reserved,R,,
30.9731.11:10,txa_vreg_comp,RW,,
30.9731.9:5,Reserved,R,,
30.9731.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9987,Host Tx Lane 7 Impedance ,16'h0007,,
30.9987.15:12,Reserved,R,,
30.9987.11:10,txa_vreg_comp,RW,,
30.9987.9:5,Reserved,R,,
30.9987.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.10243,Host Tx Lane 8 Impedance ,16'h0007,,
30.10243.15:12,Reserved,R,,
30.10243.11:10,txa_vreg_comp,RW,,
30.10243.9:5,Reserved,R,,
30.10243.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.10499,Host Tx Lane 9 Impedance ,16'h0007,,
30.10499.15:12,Reserved,R,,
30.10499.11:10,txa_vreg_comp,RW,,
30.10499.9:5,Reserved,R,,
30.10499.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
,,,,
R30.4100,Optical Tx Lane 0 phase trim ,16'h0000,,
30.4100.15:12,Reserved,R,,
30.4100.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4100.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4100.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4100.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.4356,Optical Tx Lane 1 phase trim ,16'h0000,,
30.4356.15:12,Reserved,R,,
30.4356.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4356.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4356.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4356.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.4612,Optical Tx Lane 2 phase trim ,16'h0000,,
30.4612.15:12,Reserved,R,,
30.4612.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4612.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4612.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4612.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.4868,Optical Tx Lane 3 phase trim ,16'h0000,,
30.4868.15:12,Reserved,R,,
30.4868.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4868.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4868.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4868.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5124,Optical Tx Lane 4 phase trim ,16'h0000,,
30.5124.15:12,Reserved,R,,
30.5124.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.5124.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5124.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5124.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5380,Optical Tx Lane 5 phase trim ,16'h0000,,
30.5380.15:12,Reserved,R,,
30.5380.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
