!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
R8.0,PMA Control 1 ,16'h204C,,
8.0.0,PMA local loopback,RW,0=disable; 1=enable,Enable PMA local loopback mode. Local Loopback mode loops back 28G serial transmit data to the 28G serial receiver.
R8.1,PMA Status 1 ,16'h0002,,
8.1.15:8,Reserved,R,,
8.1.7,Fault,R,,
8.1.6:3,Reserved,R,,1=Fault condition detected; 0= Fault condition not detected;
8.1.2,Receive link status,R,,1= PMA/PMD receive link up; 0= PMA/PMD receive  link down;
8.1.1,Low Power,R,,1= PMA/PMD supports low power mode; 0= PMA/PMD does not support low power mode;
8.1.0,Reserved,R,,
R8.2,PMA Device Identifier Lo ,16'h0210,,
8.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI
R8.3,PMA Device Identifier Hi ,16'h7420,,
8.3.15:10,OUI 19-20,R,,19th through 24th bits of Inphi OUI
8.3.9:4,Model Number,R,,Gearbox model number 
8.3.3:0,Revision Code,R,,Gearbox revision number 
R8.4,PMA Speed Ability,16'h0200,,
8.4.15:10,Reserved,R,,
8.4.9,100G capable,R,,"Read as one, writes ignored:  PMA/PMD is capable of operating at 100 Gbps"
8.4.8:0,Reserved,R,,
R8.5,PMA Devices in Package Lo ,16'h0100,,
8.5.15:0,Devices Lo,R,,Separated PMA (1) present in package
R8.6,PMA Devices in Package Hi,16'h4000,,
8.6.15:0,Devices Hi,R,,Vendor Specific Device 1 present in package
R8.7,PMA Control 2,16'h002A,,
8.7.15:6,Reserved,R,,
8.7.5:2,PMD/PMA type selection 5:2,R,,"Read as 5'b10101, writes ignored : "
8.7.1,PMD/PMA type selection 1,RW,0= All optical lanes operate at 10Gbps; 1=  Optical lanes 0-3 operate at 25Gbps (lanes 4-9 disabled),In order for this bit to be writeable the “hard reset” bit (8.0.15) must be asserted. This field is not modified by an MDIO_INIT.
8.7.0,PMD/PMA type selection 0,RW,,
R8.8, PMA Status  2,16'hB281,,
8.8.15:14,Device present,R,,"Read as 2'b10, writes ignored: Indicates device responding at this address"
8.8.13,Transmit fault ability,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has the ability to detect a fault condition on the transmit path"
8.8.12,Receive fault ability,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has the ability to detect a fault condition on the receive path"
8.8.11,Transmit fault ,R,,0= No fault condition on transmit path; 1= Fault condition on transmit path;
8.8.10,Receive fault ,R,,0= No fault condition on receive path; 1= Fault condition on receive path;
8.8.9,Extended abilities,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has extended abilities listed in register 1.11"
8.8.8,PMD transmit disable ability,R,,"Read as zero, writes ignored: Indicates that the PMD does not have the ability to disable the transmit path"
8.8.7,10GBASE-SR ability,R,,
8.8.6:1,Reserved,R,,
8.8.0,PMA local loopback ability,R,,"Read as one, writes ignored: Indicates that the PMA has the ability to perform a local loopback function."
R8.11, PMA Extended Ability,16'h0400,,
8.11.15:11,Reserved,R,,
8.11.10,40G/100G extended abilities,R,,"Read as one, writes ignored: 1 = PMA/PMD has 40G/100G extended abilities listed in register 1.13"
8.11.9:0,Reserved,R,,
R8.13, 40/100G PMA Extended Ability,16'h8F00,,
8.13.15,PMA remote loopback ability,R,,"Read as one, writes ignored: 1 = PMA has the ability to perform a remote loopback function"
8.13.14:12,Reserved,R,,
8.13.11,100GBASE-ER4 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-ER4"
8.13.10,100GBASE-LR4 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-LR4"
8.13.9,100GBASE-SR10 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-SR10"
8.13.8,100GBASE-CR10 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-CR10"
8.13.7:0,Reserved,R,,
R8.1500,Test Pattern Ability,16'h103F,,
8.1500.15:13,Reserved,R,,
8.1500.12,Square wave test ability,R,,"Read as one, writes ignored: 1= Square wave testing supported"
8.1500.11:6,Reserved,R,,
8.1500.5,PRBS9 Tx generator ability,R,,"Read as one, writes ignored: 1= PRBS9 Tx (to optics) pattern generation supported"
8.1500.4,PRBS9 Rx generator ability,R,,"Read as one, writes ignored: 1= PRBS9 Rx (to host) pattern generation supported"
8.1500.3,PRBS31 Tx generator ability,R,,"Read as one, writes ignored: 1= PRBS31 Tx (to optics) pattern generation supported"
8.1500.2,PRBS31 Tx checker ability,R,,"Read as one, writes ignored: 1= PRBS31 Tx (from host)  pattern checking supported"
8.1500.1,PRBS31 Rx generator ability,R,,"Read as one, writes ignored: 1= PRBS31 Rx (to host) pattern generation supported"
8.1500.0,PRBS31 Rx checker ability,R,,"Read as one, writes ignored: 1= PRBS31 Rx (from optics) pattern checking supported"
R8.1501,PRBS Pattern Testing Control,16'h0000,,
8.1501.15:4,Reserved,R,,
8.1501.7,PRBS31 pattern enable,RW,0 = Disable PRBS9 test-pattern; 1 = Enable PRBS9 test-pattern;,
8.1501.6,PRBS9 pattern enable,RW,0 = Disable PRBS31 test-pattern; 1 = Enable PRBS31 test-pattern;,
8.1501.5:4,Reserved,R,,
8.1501.3,Tx generator enable,RW,0 = Disable transmit direction test-pattern generator; 1 = Enable transmit direction test-pattern generator;,
8.1501.2,Tx checker enable,RW,0 = Disable transmit direction test-pattern checker; 1 = Enable transmit direction test-pattern checker;,
8.1501.1,Rx generator enable,RW,0 = Disable receive direction test-pattern generator; 1 = Enable receive direction test-pattern generator;,
8.1501.0,Rx checker enable,RW,0 = Disable receive direction test-pattern checker; 1 = Enable receive direction test-pattern checker;,
R8.1510,Tx Square Wave  Testing Control,16'h0000,,
8.1510.15:4,Reserved,R,,
8.1510.9,Lane 9 SW enable,RW,0 = Disable transmit direction square wave on lane 9; 1 = Enable transmit direction square wave on lane 9;,
8.1510.8,Lane 8 SW enable,RW,0 = Disable transmit direction square wave on lane 8; 1 = Enable transmit direction square wave on lane 8;,
8.1510.7,Lane 7 SW enable,RW,0 = Disable transmit direction square wave on lane 7; 1 = Enable transmit direction square wave on lane 7;,
8.1510.6,Lane 6 SW enable,RW,0 = Disable transmit direction square wave on lane 6; 1 = Enable transmit direction square wave on lane 6;,
8.1510.5,Lane 5 SW enable,RW,0 = Disable transmit direction square wave on lane 5; 1 = Enable transmit direction square wave on lane 5;,
8.1510.4,Lane 4 SW enable,RW,0 = Disable transmit direction square wave on lane 4; 1 = Enable transmit direction square wave on lane 4;,
8.1510.3,Lane 3 SW enable,RW,0 = Disable transmit direction square wave on lane 3; 1 = Enable transmit direction square wave on lane 3;,
8.1510.2,Lane 2 SW enable,RW,0 = Disable transmit direction square wave on lane 2; 1 = Enable transmit direction square wave on lane 2;,
8.1510.1,Lane 1 SW enable,RW,0 = Disable transmit direction square wave on lane 1; 1 = Enable transmit direction square wave on lane 1;,
8.1510.0,Lane 0 SW enable,RW,0 = Disable transmit direction square wave on lane 0; 1 = Enable transmit direction square wave on lane 0;,
R8.1600,PRBS Tx0 Error Counter,16'h0000,,
8.1600.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1601,PRBS Tx1 Error Counter,16'h0000,,
8.1601.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1602,PRBS Tx2 Error Counter,16'h0000,,
8.1602.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1603,PRBS Tx3 Error Counter,16'h0000,,
8.1603.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1604,PRBS Tx4 Error Counter,16'h0000,,
8.1604.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1605,PRBS Tx5 Error Counter,16'h0000,,
8.1605.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1606,PRBS Tx6 Error Counter,16'h0000,,
8.1606.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1607,PRBS Tx7 Error Counter,16'h0000,,
8.1607.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1608,PRBS Tx8 Error Counter,16'h0000,,
8.1608.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1609,PRBS Tx9 Error Counter,16'h0000,,
8.1609.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1700,PRBS Rx0 Error Counter,16'h0000,,
8.1700.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1701,PRBS Rx1 Error Counter,16'h0000,,
8.1701.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1702,PRBS Rx2 Error Counter,16'h0000,,
8.1702.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1703,PRBS Rx3 Error Counter,16'h0000,,
8.1703.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1704,PRBS Rx4 Error Counter,16'h0000,,
8.1704.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1705,PRBS Rx5 Error Counter,16'h0000,,
8.1705.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1706,PRBS Rx6 Error Counter,16'h0000,,
8.1706.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1707,PRBS Rx7 Error Counter,16'h0000,,
8.1707.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1708,PRBS Rx8 Error Counter,16'h0000,,
8.1708.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1709,PRBS Rx9 Error Counter,16'h0000,,
8.1709.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
,,,,
R30.0,Device Control 1 ,16'h0A00,,
30.0.15,Manual Reset select,RW,0 = Hardware Sequencing; 1= Manual sequencing; ,"1= Manual Reset sequencing; 0 = Hardware Reset Sequencing (default). Pin reset RESETN leaves the gearbox device in a fully reset state.  Bringing the device into an operational state requires sequencing of SERDES reset signals.  Two sequencing methods are supported: Manual, and hardware sequenced.  This bit selects which method controls internal reset signals.  When Manual control is selected fields in register 30.44 control internal reset signals, otherwise bits in this register control them."
30.0.14,Protocol Select,RW,0 = Ethernet; 1= OTU; ,Select OTU framing protocol for protocol lock State Machine.
30.0.13,Ingress Squelch enable,RW,0=normal operation; 1=disable Tx if source indicates LOL,
30.0.12,Egress Squelch enable,RW,0=normal operation; 1=disable Tx if source indicates LOL,
30.0.11,Ingress Datapath Reset ,RW,,"This bit controls Ingress datapath reset signals, if hardware reset sequencing is selected (30.0.15=0). Asserting this bit resets the Ingress datapath of the gearbox.  De-asserting this bit causes a sequenced removal of reset from the Ingress datapath using the hardware reset sequencer. This bit is set to a one by assertion of the RESETN pin."
30.0.10,Ingress Reset seq done,R,,"1=Ingress Datapath Reset Sequencer Inactive.  This bit is de-asserted whilst the Ingress hardware reset sequencer is in operation.  This bit is asserted when the hardware reset sequencer finishes operations, or is inactive."
30.0.9,Egress Datapath Reset ,RW,,"This bit controls Egress datapath reset signals, if hardware reset sequencing is selected (30.0.15=0). Asserting this bit resets the Egress datapath of the gearbox.  De-asserting this bit causes a sequenced removal of reset from the Egress datapath using the hardware reset sequencer.  This bit is set to a one by assertion of the RESETN pin."
30.0.8,Egress Reset seq done,R,,"1=Egress Datapath Reset Sequencer Inactive.  This bit is de-asserted whilst the Egress hardware reset sequencer is in operation.  This bit is asserted when the hardware reset sequencer finishes operations, or is inactive."
30.0.7,MDIO init,RW,,"Writing a one to this bit locations sets all MDIO registers except registers 30.0 (this register) ,register 30.62 (lane power downs), registers 30.180-182 (refclk select and PLL trim), and register 8.7 (PMA type)  to their default states. This bit must be written to a zero again to release the reset."
30.0.8,Ingress AZ complete,R,,Ingress Receiver auto-zero complete on all enabled lanes 
30.0.8,Egress AZ complete,R,,Egress Receiver auto-zero complete on all enabled lanes 
30.0.4,Shallow Host Loopback,RW,0=disable; 1=enable,Shallow Host loopback enable : 0 = normal mode; 1= loopback received 10G Host data to 10g Host data transmitter via the FIFOs. Data is returned bit for bit with no intervening VL muxing. This function affects all lanes in parallel.
30.0.3:1,Reserved,R,,
30.0.0,Diagnostic override,RW,0=disable; 1=enable,1= Device diagnostic registers 30.16:29 over-ride PMA/MMD8 register controls. 0= Device is controlled by PMA/MMD8 registers. Default is zero.
R30.2,Device Identifier Lo ,16'h0210,,
30.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI
R30.3,Device Identifier Hi ,16'h7420,,
30.3.15:10,OUI 19-20,R,,19th through 24th bits of Inphi OUI
30.3.9:4,Model Number,R,,Gearbox model number 
30.3.3:0,Revision Code,R,,Gearbox revision number 
R30.5,Devices in Package Lo ,16'h0100,,
30.5.15:0,Devices Lo,R,,Separated PMA (1) present in package
R30.6,Devices in Package Hi,16'h4000,,
30.6.15:0,Devices Hi,R,,Vendor Specific Device 1 present in package
R30.8, MMD30 Status  ,16'h8000,,
30.8.15:14,status,R,,"Read as 2'b10, writes ignored : Indicates device responding at this address"
30.8.13:0,Reserved,R,,
,,,,
R30.16,Optical Lane 0 Pattern Control,16'h0000,,
30.16.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.16.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. 
30.16.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation
30.16.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.16.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.16.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;
30.16.7,Reserved,R,,
30.16.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled
30.16.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.16.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.16.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.16.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
,,,,
R30.17,Optical Lane 1 Pattern Control,16'h0000,,
30.17.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.17.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. 
30.17.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation
30.17.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.17.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.17.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;
30.17.7,Reserved,R,,
30.17.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled
30.17.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.17.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.17.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.17.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
,,,,
R30.18,Optical Lane 2 Pattern Control,16'h0000,,
30.18.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.18.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. 
30.18.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation
30.18.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.18.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.18.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;
30.18.7,Reserved,R,,
30.18.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled
30.18.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.18.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.18.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.18.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
,,,,
R30.19,Optical Lane 3 Pattern Control,16'h0000,,
30.19.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.19.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. 
30.19.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation
30.19.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.19.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.19.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;
30.19.7,Reserved,R,,
30.19.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled
30.19.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.19.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.19.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.19.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
,,,,
R30.20,Optical Lane 4 Pattern Control,16'h0000,,
30.20.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.20.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. 
30.20.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation
30.20.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.20.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.20.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;
30.20.7,Reserved,R,,
30.20.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled
30.20.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.20.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.20.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.20.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
,,,,
R30.21,Optical Lane 5 Pattern Control,16'h0000,,
30.21.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.21.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. 
30.21.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation
30.21.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.21.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.21.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;
30.21.7,Reserved,R,,
